source,target,weight
accessory basal nucleus (amygdala),area 28a,2
medial area 29,area 11,2
accessory basal amygdaloid nucleus  parvicellular part,medial nucleus of the amygdala,2
area 36,lateral area 12,2
nucleus centrum medianum (thalamus),subarea of ventral premotor cortex,2
accessory basal nucleus (amygdala),area 28b,2
accessory basal amygdaloid nucleus  parvicellular part,periamygdaloid cortex,2
Substantia innominata,Entorhinal area,5
PIT,AIT,2
amygdala,accessory basal nucleus (amygdala),2
Superior colliculus,Pretectal region,5
amygdala,amygdalohippocampal area,2
amygdala,anterior amygdaloid area,2
Superior colliculus,Periaqueductal gray,5
Retrosplenial cortex Area 29c,Parasubiculum,5
amygdala,cortical nucleus (amygdala),2
amygdala,corticoamygdalar transition area,2
amygdala,lateral nucleus  amygdala,2
amygdala,medial basal nucleus of the amygdala,2
amygdala,medial nucleus of the amygdala,2
reticular nucleus of thalamus,inferior nucleus of pulvinar  lateral division,2
reticular nucleus of thalamus,mediodorsal nucleus of thalamus,2
reticular nucleus of thalamus,dorsal lateral geniculate nucleus,2
amygdala,periamygdaloid cortex,2
Bed nuclei of the stria terminalis,Superior central nucleus raphe,5
central nucleus of the amygdala,accessory basal nucleus (amygdala),2
Bed nuclei of the stria terminalis,Dorsal nucleus raphe,5
Primary motor area,Parafascicular nucleus,5
Presubiculum,Medial Entorhinal Area,5
CA1,Cingulate,5
Cingulate,RSC,5
Lateral Entorhinal Area,Subiculum,5
Subiculum,CA3,5
Presubiculum,Presubiculum,5
FEF,reticular nucleus of thalamus,2
PER,Medial Entorhinal Area,5
Lateral septal nucleus caudal (caudodorsal) part,Parataenial nucleus,5
Medial Entorhinal Area,Parasubiculum,5
Postrhinal cortex,Retrosplenial cortex Area 30,5
Medial Entorhinal Area,Retrosplenial cortex Area 30,5
Cingulate,RSC,5
Precommissural nucleus,Supramammillary nucleus lateral part,5
Retrosplenial cortex Area 29ab unspecified,Lateral Entorhinal Area,5
Dentate gyrus,CA1,5
RSC,Presubiculum,5
Precommissural nucleus,Supramammillary nucleus medial part,5
Precommissural nucleus,Dorsal premammillary nucleus,5
Dentate gyrus,EC,5
CA3,CA3,5
Dentate gyrus,CA3,5
Lateral Entorhinal Area,Dentate gyrus,5
Dentate gyrus,CA3,5
Medial Entorhinal Area,Medial Entorhinal Area,5
Subiculum,CA1,5
supramamillary nucleus,dentate gyrus,2
central nucleus of the amygdala,amygdala,2
Retrosplenial cortex Area 29c,Subiculum,5
lateral mamillary nucleus,anterodorsal nucleus of thalamus,2
nucleus centrum medianum (thalamus),subarea of ventral premotor cortex,2
Perirhinal cortex Area 36,CA1,5
nucleus centrum medianum (thalamus),supplementary motor area (=f6),2
Presubiculum,CA1,5
31,retrosplenial cortex,2
Retrosplenial cortex Area 29ab unspecified,Retrosplenial cortex Area 30,5
TF/TH,23,2
Presubiculum,Dentate gyrus,5
Retrosplenial cortex Area 29ab unspecified,Parasubiculum,5
CA3,CA1,5
12,entorhinal cortex,2
central nucleus of the amygdala,amygdala,2
central nucleus of the amygdala,accessory basal nucleus (amygdala),2
central nucleus of the amygdala,amygdala,2
central nucleus of the amygdala,amygdala,2
Lateral Entorhinal Area,CA1,5
CA1,Perirhinal cortex Area 35,5
Subiculum,PER,5
Presubiculum,Presubiculum,5
CA1,Lateral Entorhinal Area,5
Dentate gyrus,CA3,5
Retrosplenial cortex Area 29c,PER,5
ventral anterior nucleus (thalamus),supplementary motor area (=f6),2
CA1,EC,5
Dentate gyrus,CA3,5
TF/TH,entorhinal cortex,2
Lateral Entorhinal Area,CA3,5
PER,Presubiculum,5
Perirhinal cortex Area 35,Retrosplenial cortex Area 30,5
CA1,PER,5
Presubiculum,Parasubiculum,5
