source,target,weight
Anterodorsal preoptic nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division,5
Anterodorsal preoptic nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  anterior parvicellular part,5
Anterodorsal preoptic nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  medial parvicellular part  dorsal zone,5
Anterodorsal preoptic nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  periventricular part,5
Anterodorsal preoptic nucleus,Medial nucleus of the amygdala,5
Anterodorsal preoptic nucleus,Anterior periventricular nucleus of the hypothalamus,5
Anterodorsal preoptic nucleus,Anterior periventricular nucleus of the hypothalamus,5
Anterodorsal preoptic nucleus,Dorsomedial nucleus of the hypothalamus,5
Anterodorsal preoptic nucleus,Dorsomedial nucleus of the hypothalamus,5
Anterodorsal preoptic nucleus,Dorsomedial nucleus of the hypothalamus,5
Anterodorsal preoptic nucleus,Dorsomedial nucleus of the hypothalamus anterior part,5
Anterodorsal preoptic nucleus,Dorsomedial nucleus of the hypothalamus anterior part,5
Anterodorsal preoptic nucleus,Dorsomedial nucleus of the hypothalamus posterior part,5
Anterodorsal preoptic nucleus,Dorsomedial nucleus of the hypothalamus ventral part,5
Anterodorsal preoptic nucleus,Dorsomedial nucleus of the hypothalamus ventral part,5
Anterodorsal preoptic nucleus,Intermediate periventricular nucleus of the hypothalamus,5
Anterodorsal preoptic nucleus,Arcuate nucleus of the hypothalamus,5
Anterodorsal preoptic nucleus,Posterior periventricular nucleus of the hypothalamus,5
Anterodorsal preoptic nucleus,Medial preoptic area,5
Anterodorsal preoptic nucleus,Medial preoptic nucleus lateral part,5
Anterodorsal preoptic nucleus,Medial preoptic nucleus lateral part,5
Anterodorsal preoptic nucleus,Medial preoptic nucleus lateral part,5
Anterodorsal preoptic nucleus,Medial preoptic nucleus medial part,5
Anterodorsal preoptic nucleus,Medial preoptic nucleus central part,5
Anterodorsal preoptic nucleus,Anteroventral preoptic nucleus,5
Anterodorsal preoptic nucleus,Anterior hypothalamic nucleus anterior part,5
Anterodorsal preoptic nucleus,Anterior hypothalamic central part,5
Anterodorsal preoptic nucleus,Suprachiasmatic nucleus,5
Anterodorsal preoptic nucleus,Subparaventricular zone,5
Anterodorsal preoptic nucleus,Retrochiasmatic area,5
Anterodorsal preoptic nucleus,Ventromedial nucleus of the hypothalamus,5
Anterodorsal preoptic nucleus,Ventral premammillary nucleus,5
Anterodorsal preoptic nucleus,Tuberomammillary nucleus dorsal part,5
Anterodorsal preoptic nucleus,Supramammillary nucleus,5
Anterodorsal preoptic nucleus,Supramammillary nucleus,5
Anterodorsal preoptic nucleus,Supramammillary nucleus lateral part,5
Anterodorsal preoptic nucleus,Supramammillary nucleus medial part,5
Anterodorsal preoptic nucleus,Medial mammillary nucleus,5
Anterodorsal preoptic nucleus,Lateral mammillary nucleus,5
Anterodorsal preoptic nucleus,Posterior hypothalamic nucleus,5
Anterodorsal preoptic nucleus,Posterior hypothalamic nucleus,5
Anterodorsal preoptic nucleus,Posterior hypothalamic nucleus,5
Anterodorsal preoptic nucleus,Lateral preoptic area,5
Anterodorsal preoptic nucleus,Lateral preoptic area,5
Anterodorsal preoptic nucleus,Lateral hypothalamic area,5
Anterodorsal preoptic nucleus,Subfornical organ,5
Anterodorsal preoptic nucleus,Septofimbrial nucleus,5
Anterodorsal preoptic nucleus,Zona incerta,5
Anterodorsal preoptic nucleus,Zona incerta,5
Anterodorsal preoptic nucleus,Lateral septal nucleus,5
Anterodorsal preoptic nucleus,Lateral septal nucleus caudal (caudodorsal) part ventral zone medial region,5
Anterodorsal preoptic nucleus,Lateral septal nucleus rostral (rostroventral) part,5
Anterodorsal preoptic nucleus,Lateral septal nucleus rostral (rostroventral) part medial zone ventral region rostral domain,5
Anterodorsal preoptic nucleus,Lateral septal nucleus rostral (rostroventral) part medial zone ventral region caudal domain,5
Anterodorsal preoptic nucleus,Lateral septal nucleus rostral (rostroventral) part dorsolateral zone lateral region ventral domain,5
Anterodorsal preoptic nucleus,Lateral septal nucleus ventral part,5
Anterodorsal preoptic nucleus,Lateral septal nucleus ventral part,5
Anterodorsal preoptic nucleus,Medial septal nucleus,5
Anterodorsal preoptic nucleus,Nucleus of the diagonal band,5
Anterodorsal preoptic nucleus,Locus coeruleus,5
Anterodorsal preoptic nucleus,Pontine central gray,5
Anterodorsal preoptic nucleus,Dorsal nucleus raphe,5
Nucleus of the diagonal band,Presubiculum,5
Anterodorsal preoptic nucleus,Paraventricular nucleus of the thalamus,5
Anterodorsal preoptic nucleus,Nucleus reuniens,5
Anteroventral preoptic nucleus,Lateral hypothalamic area,5
Anteroventral preoptic nucleus,Bed nuclei of the stria terminalis,5
Anteroventral preoptic nucleus,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,5
Anteroventral preoptic nucleus,Bed nuclei of the stria terminalis anterior division dorsolateral nucleus,5
Anteroventral preoptic nucleus,Bed nuclei of the stria terminalis anterior division fusiform nucleus,5
Anteroventral preoptic nucleus,Bed nuclei of the stria terminalis anterior division ventral nucleus,5
Anteroventral preoptic nucleus,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,5
Anteroventral preoptic nucleus,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,5
Anteroventral preoptic nucleus,Medial preoptic nucleus medial part,5
Anteroventral preoptic nucleus,Suprachiasmatic preoptic nucleus,5
Anteroventral preoptic nucleus,Median preoptic nucleus,5
Anteroventral preoptic nucleus,Median preoptic nucleus,5
Anteroventral preoptic nucleus,Anteroventral periventricular nucleus,5
Anteroventral preoptic nucleus,Medial preoptic nucleus central part,5
Anteroventral preoptic nucleus,Preoptic periventricular nucleus,5
Anteroventral preoptic nucleus,Supraoptic nucleus,5
Anteroventral preoptic nucleus,Paraventricular nucleus of the hypothalamus  descending division  medial parvicellular part  ventral zone,5
Anteroventral preoptic nucleus,Paraventricular nucleus of the hypothalamus  descending division  dorsal parvicellular part,5
Anteroventral preoptic nucleus,Paraventricular nucleus of the hypothalamus  descending division  lateral parvicellular part,5
Anteroventral preoptic nucleus,Paraventricular nucleus of the hypothalamus  descending division  forniceal part,5
Anteroventral preoptic nucleus,Paraventricular nucleus of the hypothalamus  magnocellular division  anterior magnocellular part,5
Anteroventral preoptic nucleus,Paraventricular nucleus of the hypothalamus  magnocellular division  posterior magnocellular part,5
Anteroventral preoptic nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  anterior parvicellular part,5
Anteroventral preoptic nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  medial parvicellular part  dorsal zone,5
Anteroventral preoptic nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  periventricular part,5
Anteroventral preoptic nucleus,Medial nucleus of the amygdala,5
Anteroventral preoptic nucleus,Anterior periventricular nucleus of the hypothalamus,5
Anteroventral preoptic nucleus,Dorsomedial nucleus of the hypothalamus,5
Anteroventral preoptic nucleus,Dorsomedial nucleus of the hypothalamus,5
Anteroventral preoptic nucleus,Dorsomedial nucleus of the hypothalamus,5
Anteroventral preoptic nucleus,Dorsomedial nucleus of the hypothalamus anterior part,5
Anteroventral preoptic nucleus,Dorsomedial nucleus of the hypothalamus anterior part,5
Anteroventral preoptic nucleus,Arcuate nucleus of the hypothalamus,5
Anteroventral preoptic nucleus,Dorsomedial nucleus of the hypothalamus posterior part,5
Anteroventral preoptic nucleus,Dorsomedial nucleus of the hypothalamus posterior part,5
Anteroventral preoptic nucleus,Dorsomedial nucleus of the hypothalamus ventral part,5
Anteroventral preoptic nucleus,Dorsomedial nucleus of the hypothalamus ventral part,5
Anteroventral preoptic nucleus,Intermediate periventricular nucleus of the hypothalamus,5
Anteroventral preoptic nucleus,Medial preoptic area,5
Anteroventral preoptic nucleus,Medial preoptic nucleus,5
Anteroventral preoptic nucleus,Medial preoptic nucleus lateral part,5
Anteroventral preoptic nucleus,Medial preoptic nucleus lateral part,5
Anteroventral preoptic nucleus,Medial preoptic nucleus lateral part,5
Anteroventral preoptic nucleus,Posterodorsal preoptic nucleus,5
Anteroventral preoptic nucleus,Anterior hypothalamic nucleus,5
Anteroventral preoptic nucleus,Ventromedial nucleus of the hypothalamus,5
Precommissural nucleus,Laterodorsal tegmental nucleus,5
Anteroventral preoptic nucleus,Ventral premammillary nucleus,5
Anteroventral preoptic nucleus,Supramammillary nucleus,5
Anteroventral preoptic nucleus,Supramammillary nucleus,5
Anteroventral preoptic nucleus,Supramammillary nucleus lateral part,5
Anteroventral preoptic nucleus,Supramammillary nucleus medial part,5
Anteroventral preoptic nucleus,Posterior hypothalamic nucleus,5
Anteroventral preoptic nucleus,Posterior hypothalamic nucleus,5
Anteroventral preoptic nucleus,Posterior hypothalamic nucleus,5
Anteroventral preoptic nucleus,Lateral preoptic area,5
Anteroventral preoptic nucleus,Lateral hypothalamic area,5
Anteroventral preoptic nucleus,Substantia innominata,5
Anteroventral preoptic nucleus,Subfornical organ,5
Anteroventral preoptic nucleus,Lateral habenula,5
Anteroventral preoptic nucleus,Dorsal nucleus raphe,5
Anteroventral preoptic nucleus,Zona incerta,5
Anteroventral preoptic nucleus,Zona incerta,5
Anteroventral preoptic nucleus,Lateral septal nucleus rostral (rostroventral) part,5
Anteroventral preoptic nucleus,Lateral septal nucleus rostral (rostroventral) part medial zone ventral region rostral domain,5
Anteroventral preoptic nucleus,Lateral septal nucleus rostral (rostroventral) part medial zone ventral region caudal domain,5
Anteroventral preoptic nucleus,Lateral septal nucleus rostral (rostroventral) part dorsolateral zone medial region,5
Anteroventral preoptic nucleus,Parabrachial nucleus lateral division,5
Anteroventral preoptic nucleus,Precommissural nucleus,5
area 7,nucleus caudatus; genu  intermediate  dorsal,2
Anteroventral preoptic nucleus,Periaqueductal gray ventrolateral division,5
Anteroventral preoptic nucleus,Barrington nucleus,5
Anteroventral preoptic nucleus,Pontine central gray,5
Anteroventral preoptic nucleus,Pontine central gray,5
Anteroventral preoptic nucleus,Pedunculopontine nucleus,5
Anteroventral preoptic nucleus,Subiculum ventral part,5
Anteroventral preoptic nucleus,Paraventricular nucleus of the thalamus,5
Anteroventral preoptic nucleus,Nucleus reuniens,5
Anteroventral preoptic nucleus,Central lateral nucleus of the thalamus,5
Posterodorsal preoptic nucleus,Dorsomedial nucleus of the hypothalamus,5
Posterodorsal preoptic nucleus,Medial preoptic nucleus,5
24,TF/TH,2
Parastrial nucleus,Lateral hypothalamic area,5
Parastrial nucleus,Bed nuclei of the stria terminalis,5
Parastrial nucleus,Bed nuclei of the stria terminalis anterolateral area,5
Parastrial nucleus,Bed nuclei of the stria terminalis anterior division anteroventral area,5
Parastrial nucleus,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,5
Parastrial nucleus,Bed nuclei of the stria terminalis anterior division fusiform nucleus,5
Parastrial nucleus,Bed nuclei of the stria terminalis anterior division ventral nucleus,5
Parastrial nucleus,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,5
Parastrial nucleus,Bed nuclei of the stria terminalis  anterior division  subcommisural zone,5
Parastrial nucleus,Vascular organ of the lamina terminalis,5
Parastrial nucleus,Suprachiasmatic preoptic nucleus,5
Parastrial nucleus,Median preoptic nucleus,5
Parastrial nucleus,Lateral hypothalamic area,5
Parastrial nucleus,Median preoptic nucleus,5
Parastrial nucleus,Median preoptic nucleus,5
Parastrial nucleus,Preoptic periventricular nucleus,5
Parastrial nucleus,Preoptic periventricular nucleus,5
Parastrial nucleus,Supraoptic nucleus,5
Parastrial nucleus,Supraoptic nucleus,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  descending division  medial parvicellular part  ventral zone,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  descending division  medial parvicellular part  ventral zone,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  descending division  dorsal parvicellular part,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  descending division  dorsal parvicellular part,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  descending division  lateral parvicellular part,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  descending division  lateral parvicellular part,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  descending division  forniceal part,5
Parastrial nucleus,Posterior periventricular nucleus of the hypothalamus,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  magnocellular division  anterior magnocellular part,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  magnocellular division  posterior magnocellular part,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  magnocellular division  posterior magnocellular part  medial zone,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  magnocellular division  posterior magnocellular part  lateral zone,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  anterior parvicellular part,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  anterior parvicellular part,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  medial parvicellular part  dorsal zone,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  medial parvicellular part  dorsal zone,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  periventricular part,5
Parastrial nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  periventricular part,5
Parastrial nucleus,Central nucleus of amygdala medial part,5
Parastrial nucleus,Central nucleus of amygdala capsular part,5
Parastrial nucleus,Medial nucleus of the amygdala,5
Parastrial nucleus,Anterior periventricular nucleus of the hypothalamus,5
area 7,nucleus caudatus; genu  intermediate  ventral,2
Parastrial nucleus,Dorsomedial nucleus of the hypothalamus,5
Parastrial nucleus,Dorsomedial nucleus of the hypothalamus,5
Parastrial nucleus,Dorsomedial nucleus of the hypothalamus anterior part,5
Parastrial nucleus,Dorsomedial nucleus of the hypothalamus anterior part,5
Parastrial nucleus,Dorsomedial nucleus of the hypothalamus posterior part,5
Parastrial nucleus,Dorsomedial nucleus of the hypothalamus posterior part,5
Parastrial nucleus,Dorsomedial nucleus of the hypothalamus ventral part,5
Parastrial nucleus,Dorsomedial nucleus of the hypothalamus ventral part,5
Parastrial nucleus,Intermediate periventricular nucleus of the hypothalamus,5
Parastrial nucleus,Arcuate nucleus of the hypothalamus,5
Precommissural nucleus,Locus coeruleus,5
Parastrial nucleus,Medial preoptic area,5
Parastrial nucleus,Medial preoptic nucleus lateral part,5
Parastrial nucleus,Medial preoptic nucleus lateral part,5
Parastrial nucleus,Medial preoptic nucleus lateral part,5
Parastrial nucleus,Anterodorsal preoptic nucleus,5
Parastrial nucleus,Interfascicular nucleus raphe,5
Parastrial nucleus,Anterior hypothalamic nucleus,5
Parastrial nucleus,Subparaventricular zone,5
Parastrial nucleus,Tuberomammillary nucleus dorsal part,5
Parastrial nucleus,Tuberomammillary nucleus ventral part,5
Parastrial nucleus,Supramammillary nucleus lateral part,5
Parastrial nucleus,Supramammillary nucleus medial part,5
Parastrial nucleus,Periaqueductal gray ventrolateral division,5
Parastrial nucleus,Medial mammillary nucleus,5
Parastrial nucleus,Lateral mammillary nucleus,5
Parastrial nucleus,Posterior hypothalamic nucleus,5
Parastrial nucleus,Posterior hypothalamic nucleus,5
Parastrial nucleus,Posterior hypothalamic nucleus,5
Parastrial nucleus,Lateral preoptic area,5
Parastrial nucleus,Subfornical organ,5
Parastrial nucleus,Subfornical organ,5
Parastrial nucleus,Lateral habenula,5
Parastrial nucleus,Zona incerta,5
Parastrial nucleus,Lateral septal nucleus,5
Parastrial nucleus,Lateral septal nucleus caudal (caudodorsal) part ventral zone medial region,5
Parastrial nucleus,Lateral septal nucleus rostral (rostroventral) part,5
Parastrial nucleus,Lateral septal nucleus rostral (rostroventral) part medial zone ventral region,5
Parastrial nucleus,Lateral septal nucleus rostral (rostroventral) part ventrolateral zone,5
Parastrial nucleus,Septofimbrial nucleus,5
Parastrial nucleus,Substantia innominata,5
Parastrial nucleus,Ventral tegmental area,5
Parastrial nucleus,Ventral tegmental area,5
Parastrial nucleus,Ventral tegmental area,5
Parastrial nucleus,Precommissural nucleus,5
Parastrial nucleus,Precommissural nucleus,5
Parastrial nucleus,Laterodorsal tegmental nucleus,5
Parastrial nucleus,Locus coeruleus,5
Parastrial nucleus,Barrington nucleus,5
Parastrial nucleus,Pontine central gray,5
Parastrial nucleus,Pontine central gray,5
Parastrial nucleus,Rostral linear nucleus raphe,5
Parastrial nucleus,Rostral linear nucleus raphe,5
Parastrial nucleus,Central linear nucleus raphe,5
Parastrial nucleus,Superior central nucleus raphe,5
Parastrial nucleus,Dorsal nucleus raphe,5
Parastrial nucleus,Paraventricular nucleus of the thalamus,5
Parastrial nucleus,Pontine gray,5
Parastrial nucleus,Central lateral nucleus of the thalamus,5
Parastrial nucleus,Principal mammillary tract,5
32,TF/TH,2
Anterior hypothalamic area,Bed nuclei of the stria terminalis,5
Anterior hypothalamic area,Bed nuclei of the stria terminalis  anterior division  subcommisural zone,5
Anterior hypothalamic area,Paraventricular nucleus of the hypothalamus,5
Anterior hypothalamic area,Medial nucleus of the amygdala,5
Anterior hypothalamic area,Dorsomedial nucleus of the hypothalamus,5
Anterior hypothalamic area,Lateral septal nucleus,5
Anterior hypothalamic area,Medial preoptic nucleus,5
Anterior hypothalamic area,Ventromedial nucleus of the hypothalamus,5
Anterior hypothalamic area,Ventral premammillary nucleus,5
Anterior hypothalamic area,Dorsal premammillary nucleus,5
Anterior hypothalamic area,Lateral septal nucleus rostral (rostroventral) part,5
Anterior hypothalamic area,Parabrachial nucleus lateral division,5
Anterior hypothalamic area,Periaqueductal gray,5
Retrosplenial cortex Area 30,Parasubiculum,5
cortical areas 1 & 2,cortical area 4,2
Anterior hypothalamic nucleus,Bed nuclei of the stria terminalis,5
Anterior hypothalamic nucleus,Paraventricular nucleus of the hypothalamus  descending division  medial parvicellular part  ventral zone,5
Anterior hypothalamic nucleus,Paraventricular nucleus of the hypothalamus  descending division  dorsal parvicellular part,5
Anterior hypothalamic nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  medial parvicellular part  dorsal zone,5
Anterior hypothalamic nucleus,Paraventricular nucleus of the hypothalamus  parvicellular division  periventricular part,5
Anterior hypothalamic nucleus,Medial preoptic nucleus lateral part,5
Anterior hypothalamic nucleus,Ventromedial nucleus of the hypothalamus dorsomedial part,5
Anterior hypothalamic nucleus,Dorsal premammillary nucleus,5
Anterior hypothalamic nucleus,Dorsal premammillary nucleus,5
Precommissural nucleus,Barrington nucleus,5
Anterior hypothalamic nucleus,Lateral septal nucleus rostral (rostroventral) part,5
Anterior hypothalamic nucleus,Lateral septal nucleus ventral part,5
Anterior hypothalamic nucleus,Parabrachial nucleus lateral division,5
Anterior hypothalamic nucleus,Periaqueductal gray,5
area 7,nucleus caudatus; genu  lateral  ventral,2
Anterior hypothalamic nucleus,Pedunculopontine nucleus,5
area 7,nucleus caudatus; genu  medial  ventral,2
11,TF/TH,2
Anterior hypothalamic nucleus anterior part,Lateral hypothalamic area,5
Anterior hypothalamic nucleus anterior part,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,5
Anterior hypothalamic nucleus anterior part,Bed nuclei of the stria terminalis posterior division transverse nucleus,5
Retrochiasmatic area,Ventromedial nucleus of the hypothalamus,5
Superior colliculus intermediate gray layer sublayer a,Precommissural nucleus,5
Anterior hypothalamic nucleus anterior part,Suprachiasmatic preoptic nucleus,5
Anterior hypothalamic nucleus anterior part,Paraventricular nucleus of the hypothalamus  descending division  medial parvicellular part  ventral zone,5
Anterior hypothalamic nucleus anterior part,Paraventricular nucleus of the hypothalamus  descending division  dorsal parvicellular part,5
Ventromedial nucleus of the hypothalamus ventrolateral part,Lateral septal nucleus rostral (rostroventral) part,5
Anterior hypothalamic nucleus anterior part,Paraventricular nucleus of the hypothalamus  parvicellular division,5
Anterior hypothalamic nucleus anterior part,Paraventricular nucleus of the hypothalamus  parvicellular division  anterior parvicellular part,5
Anterior hypothalamic nucleus anterior part,Paraventricular nucleus of the hypothalamus  parvicellular division  medial parvicellular part  dorsal zone,5
Anterior hypothalamic nucleus anterior part,Dorsomedial nucleus of the hypothalamus,5
Anterior hypothalamic nucleus anterior part,Dorsomedial nucleus of the hypothalamus anterior part,5
Anterior hypothalamic nucleus anterior part,Medial preoptic nucleus,5
Anterior hypothalamic nucleus anterior part,Medial preoptic nucleus lateral part,5
Anterior hypothalamic nucleus anterior part,Anterior hypothalamic central part,5
Anterior hypothalamic nucleus anterior part,Anterior hypothalamic posterior part,5
Anterior hypothalamic nucleus anterior part,Subparaventricular zone,5
Anterior hypothalamic nucleus anterior part,Ventromedial nucleus of the hypothalamus,5
Anterior hypothalamic nucleus anterior part,Ventromedial nucleus of the hypothalamus dorsomedial part,5
Anterior hypothalamic nucleus anterior part,Supramammillary nucleus medial part,5
Anterior hypothalamic nucleus anterior part,Dorsal premammillary nucleus,5
Anterior hypothalamic nucleus anterior part,Dorsal premammillary nucleus,5
Anterior hypothalamic nucleus anterior part,Medial mammillary nucleus,5
Anterior hypothalamic nucleus anterior part,Posterior hypothalamic nucleus,5
Anterior hypothalamic nucleus anterior part,Posterior hypothalamic nucleus,5
Anterior hypothalamic nucleus anterior part,Lateral preoptic area,5
Anterior hypothalamic nucleus anterior part,Lateral hypothalamic area,5
Anterior hypothalamic nucleus anterior part,Zona incerta,5
Anterior hypothalamic nucleus anterior part,Zona incerta,5
Anterior hypothalamic nucleus anterior part,Lateral septal nucleus rostral (rostroventral) part medial zone ventral region,5
Anterior hypothalamic nucleus anterior part,Lateral septal nucleus rostral (rostroventral) part ventrolateral zone dorsal region,5
Retrochiasmatic area,Nucleus reuniens rostral division,5
Anterior hypothalamic nucleus anterior part,Superior colliculus intermediate gray layer,5
Anterior hypothalamic nucleus anterior part,Superior colliculus intermediate deep gray layer,5
Anterior hypothalamic nucleus anterior part,Nucleus of the posterior commissure,5
Anterior hypothalamic central part,Ventral tegmental area,5
Anterior hypothalamic nucleus anterior part,Precommissural nucleus,5
Anterior hypothalamic nucleus anterior part,Precommissural nucleus,5
Anterior hypothalamic nucleus anterior part,Periaqueductal gray ventrolateral division,5
Anterior hypothalamic nucleus anterior part,Mesencephalic reticular nucleus,5
Anterior hypothalamic posterior part,Posterior hypothalamic nucleus,5
Anterior hypothalamic nucleus anterior part,Interanterodorsal nucleus of the thalamus,5
area 7,nucleus caudatus; head  intermediate  central,2
Anterior hypothalamic nucleus anterior part,Mediodorsal nucleus of the thalamus lateral part,5
Anterior hypothalamic nucleus anterior part,Paraventricular nucleus of the thalamus,5
Anterior hypothalamic nucleus anterior part,Nucleus reuniens rostral division,5
Anterior hypothalamic nucleus anterior part,Nucleus reuniens rostral division,5
Anterior hypothalamic nucleus anterior part,Nucleus reuniens rostral division ventral part,5
Anterior hypothalamic central part,Posterior hypothalamic nucleus,5
Anterior hypothalamic central part,Posterior hypothalamic nucleus,5
Anterior hypothalamic central part,Lateral septal nucleus ventral part,5
Anterior hypothalamic nucleus anterior part,Rhomboid nucleus,5
TF/TH,10,2
Anterior hypothalamic central part,Lateral hypothalamic area,5
Anterior hypothalamic central part,Lateral hypothalamic area,5
Anterior hypothalamic central part,Bed nuclei of the stria terminalis anterior division anterodorsal area,5
Anterior hypothalamic central part,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,5
Anterior hypothalamic central part,Bed nuclei of the stria terminalis posterior division transverse nucleus,5
Anterior hypothalamic central part,Dorsomedial nucleus of the hypothalamus,5
Anterior hypothalamic central part,Suprachiasmatic preoptic nucleus,5
Anterior hypothalamic central part,Anteroventral periventricular nucleus,5
Anterior hypothalamic central part,Preoptic periventricular nucleus,5
Anterior hypothalamic central part,Paraventricular nucleus of the hypothalamus  descending division  medial parvicellular part  ventral zone,5
Anterior hypothalamic central part,Paraventricular nucleus of the hypothalamus  descending division  dorsal parvicellular part,5
Anterior hypothalamic central part,Paraventricular nucleus of the hypothalamus  parvicellular division,5
Anterior hypothalamic central part,Paraventricular nucleus of the hypothalamus  parvicellular division  anterior parvicellular part,5
Anterior hypothalamic central part,Paraventricular nucleus of the hypothalamus  parvicellular division  medial parvicellular part  dorsal zone,5
Anterior hypothalamic central part,Central nucleus of amygdala capsular part,5
Anterior hypothalamic central part,Medial nucleus of the amygdala anterodorsal part,5
Anterior hypothalamic central part,Medial nucleus of the amygdala anteroventral part,5
Anterior hypothalamic central part,Medial nucleus of the amygdala posterodorsal part,5
Anterior hypothalamic central part,Medial nucleus of the amygdala posteroventral part,5
area 7,nucleus caudatus; head  intermediate  dorsal,2
Anterior hypothalamic central part,Dorsomedial nucleus of the hypothalamus,5
Anterior hypothalamic central part,Dorsomedial nucleus of the hypothalamus anterior part,5
Anterior hypothalamic central part,Intermediate periventricular nucleus of the hypothalamus,5
Anterior hypothalamic central part,Posterior periventricular nucleus of the hypothalamus,5
Anterior hypothalamic central part,Medial preoptic nucleus,5
Anterior hypothalamic central part,Medial preoptic nucleus,5
Anterior hypothalamic central part,Medial preoptic nucleus lateral part,5
Anterior hypothalamic central part,Anterodorsal preoptic nucleus,5
Anterior hypothalamic central part,Anteroventral preoptic nucleus,5
Anterior hypothalamic central part,Anterior hypothalamic nucleus anterior part,5
Anterior hypothalamic central part,Anterior hypothalamic posterior part,5
Anterior hypothalamic central part,Subparaventricular zone,5
Anterior hypothalamic central part,Ventromedial nucleus of the hypothalamus,5
Anterior hypothalamic central part,Ventromedial nucleus of the hypothalamus dorsomedial part,5
Anterior hypothalamic central part,Ventromedial nucleus of the hypothalamus central part,5
Anterior hypothalamic central part,Supramammillary nucleus medial part,5
Anterior hypothalamic central part,Dorsal premammillary nucleus,5
Anterior hypothalamic central part,Dorsal premammillary nucleus,5
Anterior hypothalamic central part,Dorsal premammillary nucleus,5
Anterior hypothalamic central part,Medial mammillary nucleus,5
Anterior hypothalamic central part,Posterior hypothalamic nucleus,5
Anterior hypothalamic central part,Lateral preoptic area,5
Anterior hypothalamic central part,Lateral preoptic area,5
Anterior hypothalamic central part,Lateral hypothalamic area,5
Anterior hypothalamic central part,Lateral hypothalamic area,5
Anterior hypothalamic central part,Tuberal nucleus,5
Anterior hypothalamic central part,Lateral habenula,5
Anterior hypothalamic central part,Ventral part of the lateral geniculate complex medial zone,5
Anterior hypothalamic central part,Zona incerta,5
Anterior hypothalamic central part,Zona incerta,5
Anterior hypothalamic central part,Peripeduncular nucleus,5
Anterior hypothalamic central part,Subparafascicular nucleus magnocellular part,5
area 7,nucleus caudatus; head  lateral  central,2
Anterior hypothalamic central part,Lateral septal nucleus rostral (rostroventral) part,5
Anterior hypothalamic central part,Lateral septal nucleus rostral (rostroventral) part medial zone ventral region,5
Anterior hypothalamic central part,Lateral septal nucleus rostral (rostroventral) part ventrolateral zone,5
Anterior hypothalamic central part,Lateral septal nucleus rostral (rostroventral) part ventrolateral zone dorsal region,5
Anterior hypothalamic central part,Lateral septal nucleus rostral (rostroventral) part ventrolateral zone ventral region,5
Anterior hypothalamic central part,Lateral septal nucleus rostral (rostroventral) part dorsolateral zone,5
Anterior hypothalamic central part,Lateral septal nucleus rostral (rostroventral) part dorsolateral zone medial region ventral domain,5
Anterior hypothalamic central part,Septofimbrial nucleus,5
Anterior hypothalamic central part,Substantia innominata,5
Anterior hypothalamic central part,Superior colliculus intermediate gray layer,5
Anterior hypothalamic central part,Superior colliculus intermediate deep gray layer,5
area 7,nucleus caudatus; head  lateral  dorsal,2
Anterior hypothalamic central part,Nucleus of the posterior commissure,5
Anterior hypothalamic central part,Periaqueductal gray,5
Anterior hypothalamic central part,Precommissural nucleus,5
Anterior hypothalamic central part,Precommissural nucleus,5
Anterior hypothalamic central part,Precommissural nucleus,5
Anterior hypothalamic central part,Periaqueductal gray ventrolateral division,5
Precommissural nucleus,Rostral linear nucleus raphe,5
Anterior hypothalamic central part,Mesencephalic reticular nucleus,5
